cell,long,lat,biomass,sr,evesimpson,jac,depth,chl,sst.sea,sst,pielou.sed,effort,feeding.mode_benthivorous,tl
17109,-6.25,47.25,578164.2847,20.28,0.098998254,0.635822971,1551,0.645827946,0.175062924,14.65523223,0.251970509,118960.668,0.3921392,3.918693379
17110,-5.75,47.25,311438.8907,22.45,0.078551079,0.612442694,535,0.683135343,0.177369814,14.62635857,0.245057914,224214.5129,0.409517427,3.974103643
17111,-5.25,47.25,366942.3031,27.21,0.066024183,0.5745285,107,0.652944231,0.177369814,14.62635857,0.212900115,528052.506,0.419121691,3.90641195
17112,-4.75,47.25,193059.4823,23.26,0.091348066,0.584111376,130,0.630968918,0.182886961,14.61224789,0.205739483,388453.8646,0.456164577,3.870887872
17113,-4.25,47.25,99418.31287,26.31,0.116456142,0.565104453,100,0.688861552,0.182886961,14.61224789,0.17187053,339098.9176,0.440674,3.844612613
17114,-3.75,47.25,69818.14685,23.61,0.103499915,0.578703895,110,0.775470119,0.191831081,14.58757108,0.181347735,1448497.896,0.405944914,3.834386522
17115,-3.25,47.25,174093.015,33.43,0.076026312,0.588008837,64,1.16795641,0.191831081,14.58757108,0.250468104,946469.5702,0.398906745,3.81407778
17116,-2.75,47.25,242419.5133,35.62,0.105282554,0.683884839,35,1.931689163,0.198391325,14.57666343,0.221793609,1364690.336,0.503749499,3.727069444
17117,-2.25,47.25,270744.6819,23.86,0.15524816,0.734329167,1,2.46328435,0.198391325,14.57666343,0.197931209,202825.9062,0.393101496,3.687848028
17311,-5.25,46.75,871820.3809,25.08,0.056330556,0.633253096,436,0.582133642,0.180847138,15.21182735,0.249376871,85050.28131,0.311993108,3.961474881
17312,-4.75,46.75,594156.5016,35.15,0.059349886,0.626863267,164,0.577989582,0.187660797,15.25708887,0.194691745,142470.4585,0.373982214,3.896346163
17313,-4.25,46.75,320797.1061,25.27,0.068271416,0.551973479,292,0.531841505,0.187660797,15.25708887,0.196082239,96843.23421,0.369227522,3.911971635
17314,-3.75,46.75,150022.7147,25.7,0.111528197,0.546875915,122,0.589326523,0.196458088,15.26689314,0.140151364,NA,0.393682368,3.859884622
17315,-3.25,46.75,135338.3424,22.6,0.138656539,0.57480595,121,0.752550154,0.196458088,15.26689314,0.146059353,658104.3611,0.364776444,3.818228581
17316,-2.75,46.75,122279.6477,26.8,0.090451841,0.607692903,57,1.06191917,0.2055815,15.26415573,0.192872079,1037939.615,0.319042262,3.812599135
17317,-2.25,46.75,124810.1411,34.4,0.092780676,0.679650741,9,1.557018428,0.2055815,15.26415573,0.202717893,530248.8684,0.459002797,3.653393871
